surveyId,fold,country,spatial_block,matched_v29_f1,v30_f1,delta_f1,true_cardinality,predicted_cardinality
1906431,0,Italy,+038:+015,0.15384615384615385,0.2,0.046153846153846156,18,22
1906654,0,Denmark,+056:+010,0.3888888888888889,0.3783783783783784,-0.010510510510510496,14,23
1907168,0,Italy,+045:+011,0.04,0.044444444444444446,0.004444444444444445,23,22
1907427,0,Netherlands,+053:+004,0.45454545454545453,0.5,0.04545454545454547,10,14
1907461,0,Italy,+046:+010,0.06666666666666667,0.07407407407407407,0.007407407407407404,20,34
1907489,0,Denmark,+056:+010,0.4230769230769231,0.35294117647058826,-0.07013574660633481,33,18
1907700,0,France,+048:+004,0.40816326530612246,0.40816326530612246,0.0,29,20
1908753,0,Denmark,+056:+010,0.4406779661016949,0.4642857142857143,0.023607748184019395,33,23
1909070,0,Montenegro,+042:+018,0.4927536231884058,0.48484848484848486,-0.007905138339920958,36,30
1909233,0,Denmark,+055:+009,0.41025641025641024,0.42105263157894735,0.010796221322537103,17,21
1909268,0,Italy,+046:+011,0.12121212121212122,0.12121212121212122,0.0,13,20
1909388,0,Belgium,+051:+004,0.4,0.32,-0.08000000000000002,6,19
1909400,0,Denmark,+056:+010,0.5,0.45714285714285713,-0.04285714285714287,14,21
1909764,0,Denmark,+055:+009,0.24,0.2962962962962963,0.05629629629629629,10,17
1910359,0,Denmark,+055:+009,0.39285714285714285,0.48148148148148145,0.0886243386243386,35,19
1910429,0,Denmark,+056:+010,0.4090909090909091,0.4444444444444444,0.035353535353535304,27,18
1910757,0,Netherlands,+051:+004,0.5,0.42105263157894735,-0.07894736842105265,5,14
1911073,0,Netherlands,+051:+004,0.44,0.48,0.03999999999999998,31,19
1911126,0,Switzerland,+046:+010,0.5,0.4819277108433735,-0.01807228915662651,50,33
1911583,0,Netherlands,+053:+004,0.1,0.08695652173913043,-0.013043478260869573,5,18
1911704,0,Denmark,+056:+010,0.40816326530612246,0.36,-0.04816326530612247,29,21
1911734,0,Netherlands,+051:+004,0.17142857142857143,0.14634146341463414,-0.025087108013937293,27,14
1911966,0,France,+047:+004,0.6382978723404256,0.6666666666666666,0.028368794326241065,24,21
1912192,0,France,+048:+004,0.6666666666666666,0.6896551724137931,0.02298850574712652,14,15
1912254,0,Italy,+046:+010,0.08695652173913043,0.0975609756097561,0.010604453870625669,22,19
1912345,0,Denmark,+055:+009,0.2,0.27586206896551724,0.07586206896551723,7,22
1912466,0,Denmark,+056:+010,0.46153846153846156,0.38461538461538464,-0.07692307692307693,9,17
1912748,0,Denmark,+055:+009,0.16666666666666666,0.13333333333333333,-0.033333333333333326,19,26
1913203,0,Denmark,+056:+010,0.375,0.35294117647058826,-0.022058823529411742,7,10
1913319,0,Denmark,+055:+009,0.13333333333333333,0.12121212121212122,-0.012121212121212116,19,14
1913818,0,Netherlands,+051:+004,0.0625,0.11428571428571428,0.05178571428571428,23,12
1913887,0,Netherlands,+051:+004,0.0,0.0,0.0,6,15
1913928,0,Italy,+045:+011,0.19047619047619047,0.14814814814814814,-0.042328042328042326,24,30
1914300,0,Denmark,+055:+009,0.3125,0.3125,0.0,14,18
1914338,0,Netherlands,+051:+004,0.5,0.375,-0.125,4,12
1914427,0,Denmark,+055:+009,0.21428571428571427,0.2962962962962963,0.082010582010582,9,18
1914690,0,Italy,+046:+011,0.25925925925925924,0.24489795918367346,-0.014361300075585781,22,27
1914881,0,Denmark,+056:+010,0.3870967741935484,0.4444444444444444,0.05734767025089604,12,15
1915042,0,Denmark,+056:+010,0.22727272727272727,0.2,-0.027272727272727254,22,18
1915108,0,Denmark,+056:+010,0.5238095238095238,0.5777777777777777,0.05396825396825389,26,19
1915284,0,France,+045:+004,0.5,0.43137254901960786,-0.06862745098039214,30,21
1915545,0,France,+047:+004,0.48148148148148145,0.49056603773584906,0.009084556254367604,31,22
1915578,0,Denmark,+056:+010,0.47619047619047616,0.5384615384615384,0.06227106227106227,9,17
1916122,0,Austria,+047:+009,0.14285714285714285,0.16393442622950818,0.021077283372365335,34,27
1916491,0,Denmark,+056:+010,0.3333333333333333,0.2608695652173913,-0.07246376811594202,6,17
1916924,0,Denmark,+055:+009,0.2777777777777778,0.3333333333333333,0.055555555555555525,16,20
1918267,0,Denmark,+055:+009,0.26666666666666666,0.13953488372093023,-0.12713178294573643,22,21
1918307,0,France,+048:-004,0.48484848484848486,0.5405405405405406,0.05569205569205571,20,17
