surveyId,country,spatial_block,matched_v27_f1,v29_f1,delta_f1,true_cardinality,predicted_cardinality
1044474,Denmark,+055:+009,0.3125,0.3448275862068966,0.032327586206896575,12,17
1045017,Italy,+042:+015,0.24390243902439024,0.2564102564102564,0.012507817385866149,21,18
1048199,Denmark,+055:+009,0.5714285714285714,0.5714285714285714,0.0,11,17
1048698,Poland,+054:+017,0.5909090909090909,0.6222222222222222,0.03131313131313129,22,23
1049455,Denmark,+055:+009,0.20689655172413793,0.4166666666666667,0.20977011494252876,13,11
1053853,Denmark,+055:+009,0.13333333333333333,0.08,-0.05333333333333333,9,16
1057450,Denmark,+055:+009,0.3783783783783784,0.5405405405405406,0.16216216216216217,16,21
1062436,France,+044:-001,0.14285714285714285,0.2962962962962963,0.15343915343915343,6,21
1063356,Italy,+042:+015,0.2,0.3333333333333333,0.1333333333333333,3,15
1064898,Denmark,+054:+009,0.5833333333333334,0.5555555555555556,-0.02777777777777779,8,10
1066144,Italy,+042:+015,0.10526315789473684,0.1111111111111111,0.005847953216374269,3,15
1069926,Denmark,+055:+009,0.38095238095238093,0.37209302325581395,-0.008859357696566983,20,23
1070846,Denmark,+055:+009,0.47368421052631576,0.6875,0.21381578947368424,16,16
1071587,France,+044:+000,0.45161290322580644,0.48484848484848486,0.03323558162267842,11,22
1072908,Denmark,+055:+009,0.23529411764705882,0.25925925925925924,0.023965141612200425,27,27
1073076,Denmark,+055:+009,0.65,0.6111111111111112,-0.03888888888888886,17,19
1078080,Denmark,+055:+009,0.5263157894736842,0.5945945945945946,0.06827880512091045,14,23
1082238,Poland,+054:+017,0.6,0.5517241379310345,-0.0482758620689655,26,32
1082321,Denmark,+055:+009,0.5769230769230769,0.5333333333333333,-0.043589743589743546,28,17
1082898,Denmark,+054:+009,0.1875,0.25806451612903225,0.07056451612903225,10,21
1083859,Denmark,+054:+009,0.1875,0.3,0.11249999999999999,13,27
1084111,Denmark,+055:+009,0.5945945945945946,0.5294117647058824,-0.06518282988871227,14,20
1084407,Denmark,+055:+009,0.5333333333333333,0.5185185185185185,-0.014814814814814836,14,13
1085372,Denmark,+055:+009,0.4090909090909091,0.36363636363636365,-0.04545454545454547,20,24
1086717,France,+044:+006,0.25,0.32558139534883723,0.07558139534883723,17,26
1086964,Denmark,+054:+009,0.13793103448275862,0.125,-0.012931034482758619,13,19
1087481,Denmark,+054:+009,0.2962962962962963,0.3333333333333333,0.037037037037037035,7,17
1088121,Denmark,+055:+009,0.16216216216216217,0.15789473684210525,-0.004267425320056917,15,23
1092031,Denmark,+055:+009,0.3157894736842105,0.42424242424242425,0.10845295055821375,22,11
1094666,Denmark,+054:+009,0.34285714285714286,0.5454545454545454,0.20259740259740255,19,14
1099833,France,+044:+006,0.3333333333333333,0.4,0.06666666666666671,11,29
1100281,Poland,+054:+017,0.4489795918367347,0.47058823529411764,0.021608643457382948,23,28
1102627,Denmark,+055:+009,0.29411764705882354,0.3333333333333333,0.039215686274509776,12,18
1103066,Italy,+040:+013,0.1875,0.11428571428571428,-0.07321428571428572,12,23
