surveyId,fold,country,spatial_block,matched_v29_f1,v31_f1,delta_f1,predicted_cardinality,swaps
1829486,1,Netherlands,+051:+005,0.2608695652173913,0.2608695652173913,0.0,17,0
1829680,1,Netherlands,+051:+005,0.42105263157894735,0.42105263157894735,0.0,11,0
1830016,1,Denmark,+056:+008,0.36363636363636365,0.36363636363636365,0.0,17,0
1830062,1,Denmark,+056:+008,0.3076923076923077,0.3076923076923077,0.0,26,0
1830214,1,Netherlands,+051:+005,0.3,0.3,0.0,21,2
1830312,1,Denmark,+056:+008,0.4444444444444444,0.4444444444444444,0.0,10,0
1830484,1,Denmark,+056:+008,0.1875,0.1875,0.0,16,0
1831108,1,Denmark,+056:+008,0.4375,0.4375,0.0,17,0
1831188,1,Denmark,+055:+011,0.0,0.0,0.0,26,0
1831240,1,Denmark,+056:+008,0.4666666666666667,0.4666666666666667,0.0,16,0
1831260,1,Denmark,+056:+008,0.20512820512820512,0.20512820512820512,0.0,10,0
1831308,1,Denmark,+055:+011,0.5,0.5,0.0,22,0
1831414,1,Denmark,+056:+008,0.46511627906976744,0.46511627906976744,0.0,25,0
1831513,1,France,+043:+005,0.0975609756097561,0.14634146341463414,0.04878048780487804,23,1
1831569,1,Denmark,+055:+011,0.3783783783783784,0.3783783783783784,0.0,20,0
1832199,1,France,+043:+005,0.0,0.0,0.0,18,0
1833128,1,France,+043:+005,0.08695652173913043,0.08695652173913043,0.0,18,0
1833164,1,Netherlands,+051:+005,0.46153846153846156,0.46153846153846156,0.0,18,0
1833386,1,Denmark,+055:+011,0.35294117647058826,0.3137254901960784,-0.03921568627450983,31,2
1833400,1,France,+048:+005,0.5357142857142857,0.5357142857142857,0.0,27,0
1833414,1,Denmark,+056:+008,0.2727272727272727,0.2727272727272727,0.0,16,0
1833496,1,Netherlands,+051:+005,0.16666666666666666,0.16666666666666666,0.0,20,1
1833743,1,France,+043:+005,0.4117647058823529,0.4117647058823529,0.0,23,0
1833820,1,Netherlands,+051:+005,0.24,0.24,0.0,16,0
1834698,1,France,+048:-003,0.34782608695652173,0.34782608695652173,0.0,9,0
1834798,1,Denmark,+055:+011,0.35294117647058826,0.29411764705882354,-0.05882352941176472,23,2
1835550,1,France,+043:+005,0.06666666666666667,0.06666666666666667,0.0,23,0
1836210,1,Denmark,+055:+011,0.49056603773584906,0.49056603773584906,0.0,24,0
1836251,1,Denmark,+056:+008,0.07142857142857142,0.07142857142857142,0.0,20,0
1836601,1,Denmark,+055:+011,0.3508771929824561,0.3508771929824561,0.0,25,0
1836949,1,Netherlands,+051:+005,0.4,0.4,0.0,9,0
1837115,1,Denmark,+055:+011,0.3888888888888889,0.3888888888888889,0.0,15,0
1837406,1,Denmark,+056:+008,0.6086956521739131,0.6086956521739131,0.0,10,0
1837536,1,Denmark,+055:+011,0.47058823529411764,0.47058823529411764,0.0,33,1
